Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Bradish","BAL",5,4,7,3.86706,14,14,0,0,,71,298,63,33,31,8,27,,3,73,9.29654,3.47474,2.67546,1.03607,0.24697,0.0923093,0.1546609029173851,0.23526,1.26805,0.294847,0.721624,,,3.83706,1.1346,1.15924,72.95999908447266,,,,,,,319.2,4.495774647887324,307,4.323943661971831,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Parker Messick","CLE",4,4,7,3.84659,14,14,0,0,,72,308,67,34,31,9,25,,3,71,8.82613,3.07145,2.87361,1.06643,0.229521,0.0798722,0.1496490240097046,0.240028,1.27371,0.292205,0.728363,,,3.84883,1.13059,1.11942,294.17999267578125,,,,,,,305.9000000000001,4.248611111111113,301,4.180555555555555,,,,,,,,,,,,,,,,,,,"Parker Messick","31986",800048
"Mitch Keller","PIT",5,5,7,4.28574,14,14,0,0,,82,350,82,42,39,10,25,,4,69,7.6158,2.79858,2.7213,1.14329,0.197184,0.0724593,0.12472440302371979,0.25699,1.32209,0.298552,0.700886,,,4.13532,1.12696,1.00509,518.6300048828125,,,,,,,321.6000000000001,3.921951219512196,331,4.036585365853658,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Taj Bradley","MIN",4,3,7,3.93819,14,14,0,0,,74,313,66,35,32,10,27,,3,77,9.38644,3.30499,2.84008,1.19364,0.24591,0.0865856,0.15932439267635345,0.23364,1.26126,0.287217,0.728285,,,3.98769,1.11803,1.22882,492.4599914550781,,,,,,,317,4.283783783783784,304,4.108108108108108,,,,,,,,,,,,,,,,,,,"Taj Bradley","22543",671737
"Carlos Rodón","NYY",6,5,8,3.953,15,15,0,0,,81,342,69,39,36,11,31,,4,84,9.39003,3.50001,2.68286,1.27497,0.246896,0.0920275,0.154868982732296,0.226214,1.24601,0.274755,0.731409,,,4.17115,1.09644,1.16205,202.3000030517578,,,,,,,347.69999999999993,4.292592592592592,325,4.012345679012346,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Jhoan Duran","PHI",3,2,0,2.37169,32,0,15,1,,32,130,24,9,8,2,10,,1,41,11.4558,2.82743,4.05166,0.568932,0.312633,0.0771617,0.23547106236219406,0.204293,1.07271,0.29253,0.797482,,,2.45682,1.08808,1.26207,41.84000015258789,,,,,,,277.8,8.68125,262,8.1875,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Eury Pérez","MIA",4,4,7,3.54442,12,12,0,0,,59,244,47,25,23,8,22,,3,67,10.236,3.30421,3.09786,1.18241,0.273689,0.0883478,0.18534110486507416,0.216093,1.17571,0.273827,0.751746,,,3.78028,1.08249,1.24577,78.6500015258789,,,,,,,275.00000000000006,4.661016949152543,250,4.237288135593221,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Landen Roupp","SFG",4,3,7,3.69774,13,13,0,0,,67,290,61,30,28,7,27,,3,69,9.2272,3.5996,2.5634,0.89035,0.237738,0.0927432,0.14499463886022568,0.236822,1.31492,0.297895,0.736277,,,3.68821,1.07201,1.06867,690.0999755859375,,,,,,,299.0999999999999,4.46417910447761,292,4.358208955223881,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Matthew Boyd","CHC",5,4,7,4.00334,13,13,0,0,,74,311,69,36,33,11,22,,3,71,8.57225,2.63994,3.24713,1.27767,0.227558,0.0700796,0.15747816115617752,0.239649,1.21546,0.283346,0.717632,,,4.05963,1.07147,0.967937,212.75999450683594,,,,,,,299.9,4.052702702702702,294,3.972972972972973,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Jack Flaherty","DET",5,4,7,3.9174,13,13,0,0,,71,305,64,34,31,10,26,,3,77,9.76573,3.25111,3.00381,1.25382,0.25382,0.0844994,0.169320747256279,0.231597,1.25666,0.286199,0.735909,,,3.97263,1.06796,1.09567,209,,,,,,,303,4.267605633802817,292,4.112676056338028,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Davis Martin","CHW",4,5,6,4.22609,13,13,0,0,,71,307,71,36,33,9,24,,3,62,7.81835,2.97759,2.62573,1.12445,0.201089,0.076584,0.12450508773326874,0.253708,1.33104,0.29683,0.707687,,,4.12546,1.05758,0.924365,999,,,,,,,273.1,3.846478873239437,281,3.9577464788732395,,,,,,,,,,,,,,,,,,,"Davis Martin","21448",663436
"Michael King","SDP",5,5,7,4.10216,14,14,0,0,,78,330,71,39,36,10,29,,4,75,8.66738,3.34089,2.59433,1.19693,0.227679,0.0877603,0.13991910964250565,0.238492,1.28015,0.285783,0.715129,,,4.16431,1.03733,0.829111,129.55999755859375,,,,,,,320.6,4.110256410256411,311,3.9871794871794872,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Tyler Glasnow","LAD",4,2,5,3.36587,8,8,0,0,,46,190,37,19,17,5,17,,2,55,10.7155,3.3403,3.20796,1.05368,0.290022,0.0904069,0.1996147260069847,0.214231,1.16118,0.282748,0.754764,,,3.49894,1.03614,1.00335,113.73999786376953,,,,,,,235.70000000000005,5.123913043478262,218,4.739130434782608,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
