Team,Player,Positions,Injury
George Clooneys,Reynaldo Lopez,"P,SP,BE,IL,RP",ACTIVE
Team Quinn,Jose Ramirez,"3B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Team Quinn,Matt Olson,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Team Quinn,Logan Gilbert,"P,SP,BE,IL",ACTIVE
Team Quinn,Yoshinobu Yamamoto,"P,SP,BE,IL",ACTIVE
Team Quinn,Max Fried,"P,SP,BE,IL",FIFTEEN_DAY_DL
Team Quinn,Cade Smith,"P,RP,BE,IL",ACTIVE
Team Quinn,Drake Baldwin,"C,UTIL,BE,IL,DH",ACTIVE
Team Quinn,David Bednar,"P,RP,BE,IL",ACTIVE
Team Quinn,Drew Rasmussen,"P,SP,BE,IL",ACTIVE
Team Quinn,Chandler Simpson,"LF,CF,OF,UTIL,BE,IL",ACTIVE
Team Quinn,Jeremy Pena,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Team Quinn,Matthew Boyd,"P,SP,BE,IL",ACTIVE
Team Quinn,Andrew Abbott,"P,SP,BE,IL",ACTIVE
Team Quinn,Spencer Schwellenbach,"P,SP,BE,IL",SIXTY_DAY_DL
Team Quinn,Jackson Holliday,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Team Quinn,Geraldo Perdomo,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Team Quinn,Nico Hoerner,"2B,2B/SS,IF,UTIL,BE,IL,SS",ACTIVE
Team Quinn,Grant Holmes,"P,SP,BE,IL",ACTIVE
Team Quinn,Liam Hicks,"C,1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Team Quinn,Ernie Clement,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Team Quinn,Bryan Baker,"P,RP,BE,IL",ACTIVE
Team Quinn,Bryan Reynolds,"RF,OF,DH,UTIL,BE,IL,LF",ACTIVE
Team Quinn,Eduardo Rodriguez,"P,SP,BE,IL",ACTIVE
Team Quinn,Spencer Steer,"1B,1B/3B,IF,UTIL,BE,IL,OF,LF,RF,2B,2B/SS",ACTIVE
Team Quinn,Nick Martinez,"P,SP,RP,BE,IL",ACTIVE
Team Quinn,Christian Vazquez,"C,UTIL,BE,IL",ACTIVE
Team Quinn,Mauricio Dubon,"2B,3B,SS,2B/SS,1B/3B,IF,LF,OF,UTIL,BE,IL,CF",ACTIVE
Team Quinn,Brandon Marsh,"LF,CF,OF,UTIL,BE,IL,RF",ACTIVE
Team Quinn,Hurston Waldrep,"P,SP,BE,IL",ACTIVE
Team Quinn,Luis Garcia Jr.,"2B,2B/SS,IF,UTIL,BE,IL,1B,1B/3B",ACTIVE
Mayor of Titty-City,Julio Rodriguez,"CF,OF,UTIL,BE,IL",SEVEN_DAY_DL
Mayor of Titty-City,Fernando Tatis Jr.,"RF,OF,UTIL,BE,IL,2B,2B/SS,IF",ACTIVE
Mayor of Titty-City,Vinnie Pasquantino,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Pete Crow-Armstrong,"CF,OF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Shea Langeliers,"C,UTIL,BE,IL,DH",ACTIVE
Mayor of Titty-City,Spencer Strider,"P,SP,BE,IL",SIXTY_DAY_DL
Mayor of Titty-City,Jose Altuve,"2B,2B/SS,IF,LF,OF,DH,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Cristopher Sanchez,"P,SP,BE,IL",ACTIVE
Mayor of Titty-City,Shota Imanaga,"P,SP,BE,IL",ACTIVE
Mayor of Titty-City,Willson Contreras,"1B,1B/3B,IF,UTIL,BE,IL",SUSPENSION
Mayor of Titty-City,JJ Wetherholt,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Jac Caglianone,"RF,OF,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Mayor of Titty-City,Tyler Soderstrom,"1B,1B/3B,IF,LF,OF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Ryan Waldschmidt,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Shane McClanahan,"P,SP,BE,IL",ACTIVE
Mayor of Titty-City,George Springer,"RF,OF,DH,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Erik Sabrowski,"P,RP,BE,IL",ACTIVE
Mayor of Titty-City,Max Muncy,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Kazuma Okamoto,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Mayor of Titty-City,Jared Jones,"P,SP,BE,IL",ACTIVE
Mayor of Titty-City,Zack Gelof,"2B,2B/SS,IF,UTIL,BE,IL,OF,CF,3B,1B/3B",TEN_DAY_DL
Mayor of Titty-City,Bo Bichette,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",DAY_TO_DAY
